# Original clock tree delay (SS) per FF before optimization
# topo_rank: pseudo-DAG order (lower ori delay preferred when ties)
ff_node_id	ff_name	ori_clk_delay	topo_rank
10	FF_5869	0.596000	17196
11	FF_5870	0.596000	17197
12	FF_5871	0.596000	17198
13	FF_5872	0.596000	17199
14	FF_5873	0.596000	17200
15	FF_1996	0.488000	17201
16	FF_1997	0.488000	17202
17	FF_1998	0.488000	17203
18	FF_1999	0.488000	17204
21	FF_5874	0.532000	17205
22	FF_5875	0.532000	17206
23	FF_5876	0.532000	17207
24	FF_5877	0.532000	17208
25	FF_5878	0.532000	17209
27	FF_5879	0.490000	17210
28	FF_5880	0.490000	17211
29	FF_5881	0.490000	17212
31	FF_5882	0.490000	17213
32	FF_5883	0.490000	17214
33	FF_2000	0.463000	17215
34	FF_674	0.399000	17216
35	FF_675	0.399000	17217
36	FF_676	0.399000	17218
40	FF_5884	0.455000	17219
41	FF_5885	0.455000	17220
42	FF_5886	0.455000	17221
44	FF_5887	0.473000	17222
45	FF_5888	0.473000	17223
46	FF_5889	0.473000	17224
47	FF_5890	0.473000	17225
50	FF_5891	0.467000	17226
51	FF_5892	0.467000	17227
53	FF_5893	0.535000	17228
54	FF_5894	0.535000	17229
55	FF_5895	0.535000	17230
56	FF_5896	0.535000	17231
58	FF_5897	0.461000	17232
60	FF_5898	0.519000	17233
61	FF_5899	0.519000	17234
62	FF_5900	0.519000	17235
63	FF_5901	0.519000	17236
64	FF_5902	0.519000	17237
67	FF_5903	0.503000	17238
68	FF_2001	0.453000	17239
69	FF_2002	0.453000	17240
72	FF_5904	0.521000	17241
73	FF_5905	0.521000	17242
74	FF_5906	0.521000	17243
76	FF_5907	0.524000	17244
77	FF_5908	0.524000	17245
78	FF_5909	0.524000	17246
79	FF_5910	0.524000	17247
80	FF_5911	0.524000	17248
82	FF_5912	0.500000	17249
83	FF_5913	0.500000	17250
84	FF_5914	0.500000	17251
85	FF_5915	0.500000	17252
87	FF_5916	0.475000	17253
88	FF_2003	0.455000	17254
93	FF_5917	0.560000	17255
95	FF_5918	0.555000	17256
96	FF_2004	0.545000	17257
97	FF_2005	0.545000	17258
100	FF_5919	0.637000	17259
101	FF_5920	0.637000	17260
102	FF_5921	0.637000	17261
103	FF_5922	0.637000	17262
104	FF_5923	0.637000	17263
106	FF_5924	0.598000	17264
107	FF_5925	0.598000	17265
108	FF_5926	0.598000	17266
109	FF_5927	0.598000	17267
110	FF_5928	0.598000	17268
111	FF_2006	0.529000	17269
112	FF_2007	0.529000	17270
113	FF_2008	0.529000	17271
116	FF_5929	0.569000	17272
117	FF_5930	0.569000	17273
118	FF_5931	0.569000	17274
120	FF_5932	0.553000	17275
121	FF_5933	0.553000	17276
122	FF_2009	0.537000	17277
123	FF_2010	0.537000	17278
124	FF_2011	0.537000	17279
127	FF_5934	0.598000	17280
128	FF_5935	0.598000	17281
129	FF_5936	0.598000	17282
130	FF_5937	0.598000	17283
131	FF_5938	0.598000	17284
133	FF_5939	0.565000	17285
134	FF_5940	0.565000	17286
136	FF_5941	0.565000	17287
137	FF_5942	0.565000	17288
139	FF_5943	0.595000	17289
140	FF_5944	0.595000	17290
141	FF_5945	0.595000	17291
142	FF_2012	0.529000	17292
145	FF_5946	0.605000	17293
146	FF_5947	0.605000	17294
147	FF_5948	0.605000	17295
148	FF_5949	0.605000	17296
149	FF_5950	0.605000	17297
151	FF_5951	0.552000	17298
152	FF_5952	0.552000	17299
154	FF_5953	0.587000	17300
156	FF_5954	0.564000	17301
157	FF_5955	0.564000	17302
158	FF_5956	0.564000	17303
160	FF_5957	0.593000	17304
161	FF_5958	0.593000	17305
162	FF_5959	0.593000	17306
163	FF_5960	0.593000	17307
167	FF_5961	0.552000	17308
168	FF_5962	0.552000	17309
169	FF_5963	0.552000	17310
171	FF_5964	0.561000	17311
172	FF_5965	0.561000	17312
174	FF_5966	0.575000	17313
176	FF_5967	0.545000	17314
177	FF_2013	0.525000	17315
180	FF_5968	0.520000	17316
181	FF_5969	0.520000	17317
182	FF_5970	0.520000	17318
184	FF_5971	0.520000	17319
185	FF_5972	0.520000	17320
187	FF_5973	0.572000	17321
188	FF_5974	0.572000	17322
189	FF_5975	0.572000	17323
190	FF_5976	0.572000	17324
191	FF_5977	0.572000	17325
193	FF_5978	0.508000	17326
194	FF_5979	0.508000	17327
195	FF_2014	0.493000	17328
198	FF_5980	0.552000	17329
199	FF_5981	0.552000	17330
201	FF_5982	0.511000	17331
202	FF_5983	0.511000	17332
204	FF_5984	0.541000	17333
205	FF_5985	0.541000	17334
206	FF_5986	0.541000	17335
207	FF_5987	0.541000	17336
209	FF_5988	0.580000	17337
210	FF_5989	0.580000	17338
211	FF_5990	0.580000	17339
212	FF_5991	0.580000	17340
214	FF_5992	0.523000	17341
215	FF_5993	0.523000	17342
216	FF_5994	0.523000	17343
217	FF_677	0.417000	17344
221	FF_5995	0.510000	17345
222	FF_5996	0.510000	17346
223	FF_5997	0.510000	17347
224	FF_5998	0.510000	17348
225	FF_5999	0.510000	17349
228	FF_6000	0.561000	17350
229	FF_6001	0.561000	17351
230	FF_6002	0.561000	17352
231	FF_6003	0.561000	17353
232	FF_6004	0.561000	17354
234	FF_6005	0.562000	17355
235	FF_6006	0.562000	17356
236	FF_6007	0.562000	17357
237	FF_6008	0.562000	17358
238	FF_6009	0.562000	17359
240	FF_6010	0.515000	17360
241	FF_6011	0.515000	17361
243	FF_6012	0.572000	17362
244	FF_6013	0.572000	17363
245	FF_6014	0.572000	17364
246	FF_6015	0.572000	17365
247	FF_6016	0.572000	17366
248	FF_2015	0.493000	17367
249	FF_678	0.404000	17368
253	FF_6017	0.565000	17369
254	FF_6018	0.565000	17370
255	FF_6019	0.565000	17371
256	FF_6020	0.565000	17372
258	FF_6021	0.575000	17373
259	FF_6022	0.575000	17374
260	FF_6023	0.575000	17375
262	FF_6024	0.565000	17376
263	FF_6025	0.565000	17377
265	FF_6026	0.539000	17378
267	FF_6027	0.585000	17379
268	FF_6028	0.585000	17380
269	FF_6029	0.585000	17381
270	FF_6030	0.585000	17382
271	FF_6031	0.585000	17383
274	FF_6032	0.507000	17384
275	FF_6033	0.507000	17385
276	FF_2016	0.485000	17386
277	FF_2017	0.485000	17387
278	FF_679	0.440000	17388
279	FF_680	0.440000	17389
280	FF_681	0.440000	17390
281	FF_230	0.372000	17391
287	FF_6034	0.603000	17392
288	FF_6035	0.603000	17393
289	FF_6036	0.603000	17394
290	FF_6037	0.603000	17395
292	FF_6038	0.590000	17396
293	FF_6039	0.590000	17397
294	FF_6040	0.590000	17398
296	FF_6041	0.626000	17399
297	FF_6042	0.626000	17400
298	FF_6043	0.626000	17401
299	FF_6044	0.626000	17402
300	FF_6045	0.626000	17403
302	FF_6046	0.578000	17404
304	FF_6047	0.626000	17405
305	FF_6048	0.626000	17406
306	FF_6049	0.626000	17407
307	FF_6050	0.626000	17408
308	FF_6051	0.626000	17409
311	FF_6052	0.528000	17410
312	FF_6053	0.528000	17411
314	FF_6054	0.532000	17412
315	FF_6055	0.532000	17413
316	FF_6056	0.532000	17414
319	FF_6057	0.554000	17415
320	FF_6058	0.554000	17416
321	FF_6059	0.554000	17417
323	FF_6060	0.533000	17418
325	FF_6061	0.563000	17419
326	FF_6062	0.563000	17420
327	FF_6063	0.563000	17421
329	FF_6064	0.540000	17422
330	FF_6065	0.540000	17423
332	FF_6066	0.554000	17424
333	FF_6067	0.554000	17425
336	FF_6068	0.536000	17426
338	FF_6069	0.615000	17427
339	FF_6070	0.615000	17428
340	FF_6071	0.615000	17429
341	FF_6072	0.615000	17430
342	FF_6073	0.615000	17431
344	FF_6074	0.571000	17432
345	FF_6075	0.571000	17433
346	FF_6076	0.571000	17434
348	FF_6077	0.576000	17435
349	FF_6078	0.576000	17436
350	FF_6079	0.576000	17437
351	FF_6080	0.576000	17438
352	FF_2018	0.526000	17439
355	FF_6081	0.585000	17440
356	FF_6082	0.585000	17441
357	FF_6083	0.585000	17442
358	FF_6084	0.585000	17443
359	FF_6085	0.585000	17444
361	FF_6086	0.572000	17445
362	FF_6087	0.572000	17446
363	FF_6088	0.572000	17447
367	FF_6089	0.564000	17448
368	FF_6090	0.564000	17449
370	FF_6091	0.597000	17450
371	FF_6092	0.597000	17451
372	FF_6093	0.597000	17452
373	FF_6094	0.597000	17453
374	FF_6095	0.597000	17454
375	FF_2019	0.528000	17455
376	FF_2020	0.528000	17456
377	FF_2021	0.528000	17457
380	FF_6096	0.607000	17458
381	FF_6097	0.607000	17459
382	FF_6098	0.607000	17460
383	FF_6099	0.607000	17461
384	FF_6100	0.607000	17462
386	FF_6101	0.589000	17463
387	FF_6102	0.589000	17464
388	FF_6103	0.589000	17465
389	FF_6104	0.589000	17466
391	FF_6105	0.554000	17467
392	FF_6106	0.554000	17468
394	FF_6107	0.584000	17469
395	FF_6108	0.584000	17470
396	FF_6109	0.584000	17471
397	FF_6110	0.584000	17472
399	FF_6111	0.549000	17473
402	FF_6112	0.564000	17474
403	FF_6113	0.564000	17475
405	FF_6114	0.575000	17476
406	FF_6115	0.575000	17477
407	FF_6116	0.575000	17478
409	FF_6117	0.594000	17479
410	FF_6118	0.594000	17480
411	FF_6119	0.594000	17481
412	FF_6120	0.594000	17482
414	FF_6121	0.628000	17483
415	FF_6122	0.628000	17484
416	FF_6123	0.628000	17485
417	FF_6124	0.628000	17486
418	FF_6125	0.628000	17487
419	FF_2022	0.549000	17488
422	FF_6126	0.604000	17489
423	FF_6127	0.604000	17490
424	FF_6128	0.604000	17491
425	FF_6129	0.604000	17492
426	FF_6130	0.604000	17493
428	FF_6131	0.563000	17494
429	FF_6132	0.563000	17495
431	FF_6133	0.602000	17496
432	FF_6134	0.602000	17497
433	FF_6135	0.602000	17498
434	FF_2023	0.536000	17499
435	FF_2024	0.536000	17500
436	FF_682	0.460000	17501
440	FF_6136	0.570000	17502
441	FF_6137	0.570000	17503
442	FF_6138	0.570000	17504
443	FF_6139	0.570000	17505
444	FF_6140	0.570000	17506
445	FF_2025	0.462000	17507
448	FF_6141	0.555000	17508
449	FF_6142	0.555000	17509
450	FF_6143	0.555000	17510
451	FF_6144	0.555000	17511
453	FF_6145	0.542000	17512
454	FF_6146	0.542000	17513
455	FF_6147	0.542000	17514
457	FF_6148	0.525000	17515
458	FF_2026	0.510000	17516
459	FF_683	0.426000	17517
460	FF_684	0.426000	17518
461	FF_231	0.381000	17519
462	FF_232	0.381000	17520
467	FF_6149	0.572000	17521
468	FF_6150	0.572000	17522
469	FF_6151	0.572000	17523
470	FF_6152	0.572000	17524
471	FF_6153	0.572000	17525
473	FF_6154	0.567000	17526
474	FF_6155	0.567000	17527
475	FF_6156	0.567000	17528
476	FF_6157	0.567000	17529
478	FF_6158	0.582000	17530
479	FF_6159	0.582000	17531
480	FF_6160	0.582000	17532
481	FF_6161	0.582000	17533
482	FF_6162	0.582000	17534
484	FF_6163	0.592000	17535
485	FF_6164	0.592000	17536
486	FF_6165	0.592000	17537
487	FF_6166	0.592000	17538
488	FF_6167	0.592000	17539
490	FF_6168	0.553000	17540
491	FF_685	0.395000	17541
492	FF_686	0.395000	17542
493	FF_687	0.395000	17543
497	FF_6169	0.517000	17544
498	FF_6170	0.517000	17545
499	FF_6171	0.517000	17546
500	FF_6172	0.517000	17547
501	FF_6173	0.517000	17548
503	FF_6174	0.494000	17549
504	FF_6175	0.494000	17550
505	FF_6176	0.494000	17551
506	FF_6177	0.494000	17552
508	FF_6178	0.483000	17553
509	FF_6179	0.483000	17554
510	FF_6180	0.483000	17555
511	FF_6181	0.483000	17556
512	FF_2027	0.438000	17557
515	FF_6182	0.545000	17558
516	FF_6183	0.545000	17559
517	FF_6184	0.545000	17560
518	FF_6185	0.545000	17561
519	FF_2028	0.461000	17562
520	FF_2029	0.461000	17563
521	FF_2030	0.461000	17564
522	FF_2031	0.461000	17565
525	FF_6186	0.540000	17566
526	FF_6187	0.540000	17567
527	FF_6188	0.540000	17568
528	FF_6189	0.540000	17569
529	FF_6190	0.540000	17570
531	FF_6191	0.501000	17571
532	FF_6192	0.501000	17572
533	FF_6193	0.501000	17573
534	FF_6194	0.501000	17574
536	FF_6195	0.496000	17575
537	FF_6196	0.496000	17576
538	FF_6197	0.496000	17577
539	FF_6198	0.496000	17578
541	FF_6199	0.501000	17579
542	FF_6200	0.501000	17580
543	FF_6201	0.501000	17581
544	FF_6202	0.501000	17582
546	FF_6203	0.520000	17583
547	FF_6204	0.520000	17584
548	FF_6205	0.520000	17585
549	FF_6206	0.520000	17586
550	FF_6207	0.520000	17587
554	FF_6208	0.485000	17588
555	FF_6209	0.485000	17589
557	FF_6210	0.485000	17590
558	FF_688	0.434000	17591
559	FF_689	0.434000	17592
560	FF_690	0.434000	17593
564	FF_6211	0.539000	17594
565	FF_6212	0.539000	17595
566	FF_6213	0.539000	17596
567	FF_6214	0.539000	17597
568	FF_6215	0.539000	17598
570	FF_6216	0.497000	17599
571	FF_6217	0.497000	17600
572	FF_6218	0.497000	17601
573	FF_2032	0.471000	17602
576	FF_6219	0.602000	17603
577	FF_6220	0.602000	17604
578	FF_6221	0.602000	17605
579	FF_6222	0.602000	17606
580	FF_6223	0.602000	17607
582	FF_6224	0.509000	17608
584	FF_6225	0.544000	17609
585	FF_6226	0.544000	17610
586	FF_6227	0.544000	17611
587	FF_6228	0.544000	17612
588	FF_2033	0.494000	17613
589	FF_2034	0.494000	17614
590	FF_691	0.426000	17615
591	FF_692	0.426000	17616
592	FF_693	0.426000	17617
597	FF_6229	0.548000	17618
598	FF_6230	0.548000	17619
599	FF_6231	0.548000	17620
601	FF_6232	0.561000	17621
602	FF_6233	0.561000	17622
