# Clock tree = real buffer cell delays (SS, after apply)
# Segment tree = bottom-up target branch delays
# *_in_edge = incoming buffer delay; *_node_delay = cumulative from root
# fanout==1 FF merged with parent; -- if node absent in that tree
logical_id	name	kind	level	repr_nodes	clock_in_edge	clock_node_delay	seg_in_edge	seg_node_delay	diff
0	ROOT_CLK	ROOT	0	0	0.000000	0.000000	0.000000	0.000000	0.000000
1	BUF_0	BUF	1	1	0.056000	0.056000	0.039000	0.039000	-0.017000
2	BUF_4	BUF	2	2	0.076000	0.132000	0.039000	0.078000	-0.054000
3	BUF_13	BUF	3	3	0.056000	0.188000	0.063000	0.141000	-0.047000
4	BUF_47	BUF	4	4	0.063000	0.251000	0.039000	0.180000	-0.071000
5	BUF_159	BUF	5	5	0.032000	0.283000	0.063000	0.243000	-0.040000
6	BUF_516	BUF	6	6	0.020000	0.303000	0.020000	0.263000	-0.040000
7	FF_466	FF	7	7	0.000000	0.303000	0.000000	0.263000	-0.040000
8	FF_467	FF	7	8	0.000000	0.303000	0.000000	0.263000	-0.040000
9	FF_468	FF	7	9	0.000000	0.303000	0.000000	0.263000	-0.040000
10	BUF_517	BUF	6	10	0.063000	0.346000	0.020000	0.263000	-0.083000
11	FF_469	FF	7	11	0.000000	0.346000	0.000000	0.263000	-0.083000
12	FF_470	FF	7	12	0.000000	0.346000	0.000000	0.263000	-0.083000
13	FF_471	FF	7	13	0.000000	0.346000	0.000000	0.263000	-0.083000
14	FF_472	FF	7	14	0.000000	0.346000	0.000000	0.263000	-0.083000
15	FF_473	FF	7	15	0.000000	0.346000	0.000000	0.263000	-0.083000
16	FF_135	FF	6	16	0.000000	0.283000	0.000000	0.243000	-0.040000
17	BUF_160	BUF	5	17	0.068000	0.319000	0.063000	0.243000	-0.076000
18	BUF_518	BUF	6	18	0.016000	0.335000	0.063000	0.306000	-0.029000
19	FF_474	FF	7	19	0.000000	0.335000	0.000000	0.306000	-0.029000
20	FF_475	FF	7	20	0.000000	0.335000	0.000000	0.306000	-0.029000
21	BUF_519	BUF	6	21	0.026000	0.345000	0.063000	0.306000	-0.039000
22	FF_476	FF	7	22	0.000000	0.345000	0.000000	0.306000	-0.039000
23	FF_477	FF	7	23	0.000000	0.345000	0.000000	0.306000	-0.039000
24	FF_478	FF	7	24	0.000000	0.345000	0.000000	0.306000	-0.039000
25	BUF_520	BUF	6	25	0.066000	0.385000	0.063000	0.306000	-0.079000
26	FF_479	FF	7	26	0.000000	0.385000	0.000000	0.306000	-0.079000
27	FF_480	FF	7	27	0.000000	0.385000	0.000000	0.306000	-0.079000
28	FF_481	FF	7	28	0.000000	0.385000	0.000000	0.306000	-0.079000
29	BUF_521	BUF	6	29	0.069000	0.388000	0.063000	0.306000	-0.082000
30	FF_482	FF	7	30	0.000000	0.388000	0.000000	0.306000	-0.082000
31	FF_483	FF	7	31	0.000000	0.388000	0.000000	0.306000	-0.082000
32	FF_484	FF	7	32	0.000000	0.388000	0.000000	0.306000	-0.082000
33	FF_485	FF	7	33	0.000000	0.388000	0.000000	0.306000	-0.082000
34	FF_486	FF	7	34	0.000000	0.388000	0.000000	0.306000	-0.082000
35	FF_136	FF	6	35	0.000000	0.319000	0.000000	0.243000	-0.076000
36	FF_36	FF	5	36	0.000000	0.251000	0.000000	0.180000	-0.071000
37	FF_37	FF	5	37	0.000000	0.251000	0.000000	0.180000	-0.071000
38	FF_38	FF	5	38	0.000000	0.251000	0.000000	0.180000	-0.071000
39	BUF_48	BUF	4	39	0.063000	0.251000	0.039000	0.180000	-0.071000
40	BUF_161	BUF	5	40	0.068000	0.319000	0.063000	0.243000	-0.076000
41	BUF_522+FF_487	BUF+FF	6	41+42	0.010000	0.329000	0.063000	0.306000	-0.023000
